title,rating,box_office,awards,genre,director
The Shawshank Redemption,9.3,"$28,767,189",Nominated for 7 Oscars. 21 wins & 42 nominations total,Drama,Frank Darabont
The Godfather,9.2,"$136,381,073",Won 3 Oscars. 31 wins & 31 nominations total,"Crime, Drama",Francis Ford Coppola
The Dark Knight,9.0,"$534,987,076",Won 2 Oscars. 164 wins & 164 nominations total,"Action, Crime, Drama",Christopher Nolan
The Godfather Part II,9.0,"$47,834,595",Won 6 Oscars. 17 wins & 21 nominations total,"Crime, Drama",Francis Ford Coppola
12 Angry Men,9.0,N/A,Nominated for 3 Oscars. 16 wins & 12 nominations total,"Crime, Drama",Sidney Lumet
The Lord of the Rings: The Return of the King,9.0,"$381,878,219",Won 11 Oscars. 215 wins & 124 nominations total,"Action, Adventure, Drama",Peter Jackson
Schindler's List,9.0,"$96,898,818",Won 7 Oscars. 91 wins & 49 nominations total,"Biography, Drama, History",Steven Spielberg
Pulp Fiction,8.9,"$107,928,762",Won 1 Oscar. 69 wins & 72 nominations total,"Crime, Drama",Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,8.9,"$319,372,078",Won 4 Oscars. 125 wins & 126 nominations total,"Action, Adventure, Drama",Peter Jackson
"The Good, the Bad and the Ugly",8.8,"$25,100,000",2 wins & 5 nominations,"Adventure, Drama, Western",Sergio Leone
Forrest Gump,8.8,"$330,455,270",Won 6 Oscars. 51 wins & 74 nominations total,"Drama, Romance",Robert Zemeckis
The Lord of the Rings: The Two Towers,8.8,"$345,518,923",Won 2 Oscars. 132 wins & 138 nominations total,"Action, Adventure, Drama",Peter Jackson
Fight Club,8.8,"$37,030,102",Nominated for 1 Oscar. 12 wins & 38 nominations total,Drama,David Fincher
Inception,8.8,"$292,587,330",Won 4 Oscars. 159 wins & 220 nominations total,"Action, Adventure, Sci-Fi",Christopher Nolan
Star Wars: Episode V - The Empire Strikes Back,8.7,"$292,753,960",Won 1 Oscar. 27 wins & 20 nominations total,"Action, Adventure, Fantasy",Irvin Kershner
The Matrix,8.7,"$172,076,928",Won 4 Oscars. 42 wins & 52 nominations total,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski"
Goodfellas,8.7,"$46,909,721",Won 1 Oscar. 44 wins & 38 nominations total,"Biography, Crime, Drama",Martin Scorsese
One Flew Over the Cuckoo's Nest,8.7,"$108,981,275",Won 5 Oscars. 38 wins & 15 nominations total,Drama,Milos Forman
Interstellar,8.7,"$188,020,017",Won 1 Oscar. 44 wins & 148 nominations total,"Adventure, Drama, Sci-Fi",Christopher Nolan
Se7en,8.6,"$100,125,643",Nominated for 1 Oscar. 29 wins & 44 nominations total,"Crime, Drama, Mystery",David Fincher
It's a Wonderful Life,8.6,"$1,483,643",Nominated for 5 Oscars. 7 wins & 6 nominations total,"Drama, Family, Fantasy",Frank Capra
Seven Samurai,8.6,"$781,936",Nominated for 2 Oscars. 5 wins & 9 nominations total,"Action, Drama",Akira Kurosawa
The Silence of the Lambs,8.6,"$130,742,922",Won 5 Oscars. 71 wins & 50 nominations total,"Crime, Drama, Thriller",Jonathan Demme
Saving Private Ryan,8.6,"$217,049,603",Won 5 Oscars. 79 wins & 75 nominations total,"Drama, War",Steven Spielberg
City of God,8.6,"$7,564,459",Nominated for 4 Oscars. 75 wins & 50 nominations total,"Crime, Drama","Fernando Meirelles, Kátia Lund"
